date,code,open,close,high,low,volume
2022-11-15,688981,41.4,42.79,43.1,41.35,40186279.0
2022-11-16,688981,42.79,42.48,43.58,42.44,27463077.0
2022-11-17,688981,42.2,42.66,42.8,41.82,22743026.0
2022-11-18,688981,42.63,41.81,42.87,41.8,17874980.0
2022-11-21,688981,41.69,41.58,41.89,41.4,10152529.0
2022-11-22,688981,41.57,41.0,41.93,40.94,15921511.0
2022-11-23,688981,41.0,40.77,41.39,40.7,12294663.0
2022-11-24,688981,41.0,40.68,41.18,40.59,9943234.0
2022-11-25,688981,40.8,40.69,41.1,40.69,10339808.0
2022-11-28,688981,40.14,40.08,40.39,40.01,11173549.0
2022-11-29,688981,40.15,40.98,41.2,40.15,15507183.0
2022-11-30,688981,41.11,40.84,41.28,40.71,9735606.0
2022-12-01,688981,41.2,40.98,41.55,40.87,15984605.0
2022-12-02,688981,40.88,40.65,41.15,40.62,10946496.0
2022-12-05,688981,40.8,41.36,41.36,40.79,19101636.0
2022-12-06,688981,41.3,41.91,42.32,41.19,23541303.0
2022-12-07,688981,42.0,41.92,42.15,41.61,16225470.0
2022-12-08,688981,41.96,41.9,42.07,41.5,14448517.0
2022-12-09,688981,41.98,42.16,42.27,41.85,20465984.0
2022-12-12,688981,42.13,41.95,42.38,41.66,17742172.0
2022-12-13,688981,41.9,41.8,42.12,41.72,10661773.0
2022-12-14,688981,43.96,42.57,43.96,42.56,37917268.0
2022-12-15,688981,42.46,42.77,43.2,42.25,18611761.0
2022-12-16,688981,42.5,43.0,43.18,42.18,20043725.0
2022-12-19,688981,42.8,41.78,43.15,41.7,15195748.0
2022-12-20,688981,41.58,41.85,42.15,41.55,9908290.0
2022-12-21,688981,41.73,41.29,41.96,41.0,8611491.0
2022-12-22,688981,41.55,41.07,41.65,40.99,6744443.0
2022-12-23,688981,40.9,41.06,41.33,40.83,7428877.0
2022-12-26,688981,40.9,41.43,41.54,40.9,7469494.0
2022-12-27,688981,41.39,41.48,41.61,41.15,6129326.0
2022-12-28,688981,41.43,40.9,41.52,40.89,7723114.0
