date,close
2001-08-27,30.66
2001-08-28,30.4
2001-08-29,29.68
2001-08-30,29.49
2001-08-31,29.88
2001-09-03,29.54
2001-09-04,29.62
2001-09-05,29.2
2001-09-06,29.37
2001-09-07,29.89
2001-09-10,30.26
2001-09-11,30.23
2001-09-12,30.01
2001-09-13,29.7
2001-09-14,30.13
2001-09-17,30.18
2001-09-18,30.19
2001-09-19,30.51
2001-09-20,30.46
2001-09-21,30.5
2001-09-24,29.88
2001-09-25,31.44
2001-09-26,32.1
2001-09-27,32.06
2001-09-28,32.49
2001-10-01,31.91
2001-10-02,32.83
2001-10-03,34.27
2001-10-04,33.81
2001-10-05,33.07
2001-10-08,33.86
2001-10-09,34.65
2001-10-10,33.32
2001-10-11,32.78
2001-10-12,33.36
2001-10-15,32.94
2001-10-16,32.32
2001-10-17,32.95
2001-10-18,33.43
2001-10-19,34.21
2001-10-22,34.54
2001-10-23,34.26
2001-10-24,34.68
2001-10-25,34.7
2001-10-26,35.05
2001-10-29,35.74
2001-10-30,35.1
2001-10-31,34.54
2001-11-01,35.29
2001-11-02,36.1
2001-11-05,36.1
2001-11-06,38.4
2001-11-07,37.7
2001-11-08,37.02
2001-11-09,37.06
2001-11-12,37.94
2001-11-13,38.25
2001-11-14,38.82
2001-11-15,39.51
2001-11-16,40.38
2001-11-19,41.09
2001-11-20,40.29
2001-11-21,39.89
2001-11-22,37.79
2001-11-23,37.69
2001-11-26,37.86
2001-11-27,39.14
2001-11-28,38.38
2001-11-29,39.72
2001-11-30,39.81
2001-12-03,39.85
2001-12-04,38.85
2001-12-05,39.4
2001-12-06,39.77
2001-12-07,39.74
2001-12-10,40.39
2001-12-11,40.98
2001-12-12,40.15
2001-12-13,40.44
2001-12-14,40.87
2001-12-17,40.13
2001-12-18,41.01
2001-12-19,39.89
2001-12-20,40.08
2001-12-21,39.65
2001-12-24,38.91
2001-12-25,39.38
2001-12-26,39.28
2001-12-27,40.17
2001-12-28,39.23
2001-12-31,40.29
2002-01-01,40.04
2002-01-02,40.08
2002-01-03,39.89
2002-01-04,39.51
2002-01-07,39.35
2002-01-08,38.78
2002-01-09,38.65
2002-01-10,37.56
2002-01-11,37.27
2002-01-14,37.86
2002-01-15,37.19
2002-01-16,37.32
2002-01-17,37.27
2002-01-18,37.44
2002-01-21,37.28
2002-01-22,37.36
2002-01-23,37.52
2002-01-24,37.58
2002-01-25,38.32
2002-01-28,38.47
2002-01-29,38.68
2002-01-30,39.33
2002-01-31,39.71
2002-02-01,38.81
2002-02-04,38.98
2002-02-05,37.93
2002-02-06,38.21
2002-02-07,37.91
2002-02-08,37.55
2002-02-11,37.49
2002-02-12,37.45
2002-02-13,39.08
2002-02-14,40.2
2002-02-15,40.43
2002-02-18,41.05
2002-02-19,40.54
2002-02-20,40.59
2002-02-21,41.39
2002-02-22,42.56
2002-02-25,41.8
2002-02-26,42.5
2002-02-27,43.66
2002-02-28,43.22
2002-03-01,43.91
2002-03-04,44.1
2002-03-05,43.5
2002-03-06,44.49
2002-03-07,45.7
2002-03-08,44.91
2002-03-11,43.94
2002-03-12,44.61
2002-03-13,45.52
2002-03-14,45.05
2002-03-15,45.69
2002-03-18,46.63
2002-03-19,46.48
2002-03-20,46.63
2002-03-21,46.55
2002-03-22,46.11
2002-03-25,46.75
2002-03-26,47.99
2002-03-27,47.49
2002-03-28,48.45
2002-03-29,49.42
2002-04-01,48.67
2002-04-02,48.24
2002-04-03,48.71
2002-04-04,50.69
2002-04-05,52.7
2002-04-08,54.43
2002-04-09,53.95
2002-04-10,55.25
2002-04-11,56.27
2002-04-12,58.04
2002-04-15,58.18
2002-04-16,57.01
2002-04-17,55.21
2002-04-18,55.02
2002-04-19,57.33
2002-04-22,58.98
2002-04-23,57.91
2002-04-24,58.85
2002-04-25,59.4
2002-04-26,57.84
