StockTicker,StockName,AllocationPct,MomentumExposure,ValueExposure,QualityExposure,SizeExposure,LowVolExposure,GrowthExposure,DividendExposure
600519,贵州茅台,21.2,0.85,-0.45,0.92,-0.65,0.78,0.55,0.60
AAPL,Apple Inc,14.7,0.72,-0.30,0.88,-0.55,0.65,0.48,0.45
MSFT,Microsoft Corp,11.5,0.78,-0.35,0.90,-0.60,0.70,0.52,0.42
600036,招商银行,7.6,0.45,0.55,0.65,-0.30,0.55,0.15,0.72
AMZN,Amazon.com,6.5,0.82,-0.50,0.75,-0.45,0.45,0.85,0.10
600900,长江电力,5.8,0.30,0.40,0.70,-0.25,0.82,0.08,0.78
GOOGL,Alphabet Inc,5.2,0.75,-0.40,0.85,-0.50,0.60,0.75,0.08
000858,五粮液,4.5,0.65,-0.25,0.78,-0.48,0.55,0.42,0.52
NVDA,NVIDIA Corp,4.0,0.95,-0.75,0.60,-0.55,0.15,0.95,0.05
600887,伊利股份,3.8,0.40,0.35,0.72,-0.20,0.60,0.20,0.68
