Date,hs300,cyb,gold,bond
2013-07-29,1.0,1.0,1.0,1.0
2013-07-30,1.005853,0.987544,1.007616,1.001161
2013-07-31,1.008104,0.998221,1.011805,1.003048
2013-08-01,1.034669,1.047153,1.006474,1.004047
2013-08-02,1.032868,1.040036,0.981721,1.002019
2013-08-05,1.047726,1.061388,1.001523,1.002019
2013-08-06,1.05448,1.064057,0.986672,1.002119
2013-08-07,1.047276,1.033808,0.980198,0.998648
2013-08-08,1.047726,1.041815,0.984768,0.997073
2013-08-09,1.052229,1.032918,0.996192,0.99678
2013-08-12,1.083746,1.024911,1.012567,0.995559
2013-08-13,1.083746,1.034698,1.01866,0.993843
2013-08-14,1.081495,1.042705,1.005331,0.991128
2013-08-15,1.068888,1.024021,1.020564,0.991441
2013-08-16,1.061234,0.993772,1.032749,0.99351
2013-08-19,1.070239,1.035587,1.04227,0.98914
2013-08-20,1.062584,1.032028,1.030084,0.989574
2013-08-21,1.062584,1.035587,1.037319,0.989917
2013-08-22,1.058982,1.050712,1.033511,0.98912
2013-08-23,1.052229,1.065836,1.040746,0.991704
2013-08-26,1.075642,1.085409,1.055598,0.992158
2013-08-27,1.075642,1.093416,1.058264,0.992188
2013-08-28,1.070689,1.075623,1.076542,0.988757
2013-08-29,1.067537,1.073843,1.064737,0.989251
2013-08-30,1.065736,1.041815,1.06131,0.990482
2013-09-02,1.066637,1.064947,1.053694,0.990351
2013-09-03,1.082846,1.080071,1.05179,0.989836
2013-09-04,1.082395,1.080961,1.06131,0.989241
2013-09-05,1.077893,1.11032,1.047601,0.988666
2013-09-06,1.084196,1.122776,1.0377,0.988141
2013-09-09,1.124268,1.116548,1.049505,0.987323
2013-09-10,1.139127,1.106762,1.044174,0.986445
2013-09-11,1.144079,1.069395,1.036558,0.983064
2013-09-12,1.155335,1.073843,1.021325,0.982549
2013-09-13,1.146781,1.098754,0.998477,0.983155
2013-09-16,1.140928,1.118327,1.001904,0.986153
2013-09-17,1.118415,1.108541,0.993526,0.986667
2013-09-18,1.119766,1.125445,0.98591,0.988161
2013-09-23,1.135525,1.156584,1.001142,0.988575
2013-09-24,1.124719,1.161032,0.998477,0.98696
2013-09-25,1.117965,1.155694,1.001142,0.987959
2013-09-26,1.099505,1.13968,1.002285,0.990402
2013-09-27,1.103557,1.163701,0.998477,0.990018
2013-09-30,1.110761,1.197509,1.008759,0.990493
2013-10-08,1.12652,1.209964,1.001523,0.990977
2013-10-09,1.12787,1.236655,0.995811,0.991714
2013-10-10,1.117965,1.200178,0.988195,0.991128
2013-10-11,1.135975,1.209964,0.978294,0.990987
2013-10-14,1.136425,1.22153,0.968393,0.98915
2013-10-15,1.135074,1.214413,0.964585,0.989009
2013-10-16,1.115263,1.16726,0.970678,0.989796
2013-10-17,1.10941,1.155694,0.963823,0.987818
2013-10-18,1.114813,1.185053,0.992003,0.987929
2013-10-21,1.138676,1.224199,0.993145,0.987626
2013-10-22,1.126069,1.172598,0.988195,0.987172
2013-10-23,1.113913,1.146797,0.999238,0.987586
2013-10-24,1.104908,1.128114,0.999238,0.985941
2013-10-25,1.087348,1.113879,0.997334,0.984982
2013-10-28,1.088699,1.116548,1.0,0.98483
2013-10-29,1.09005,1.097865,1.00495,0.983942
2013-10-30,1.105358,1.113879,1.001904,0.983428
2013-10-31,1.094552,1.077402,0.99505,0.986445
2013-11-01,1.099054,1.066726,0.990861,0.987253
2013-11-04,1.095903,1.069395,0.984006,0.986092
2013-11-05,1.095903,1.099644,0.983244,0.98481
2013-11-06,1.083296,1.085409,0.981721,0.982015
2013-11-07,1.078793,1.067616,0.98591,0.97718
2013-11-08,1.062584,1.057829,0.979817,0.973314
2013-11-11,1.063935,1.058719,0.963062,0.968914
2013-11-12,1.074741,1.072954,0.958492,0.971064
2013-11-13,1.05448,1.057829,0.952399,0.966805
2013-11-14,1.057632,1.089858,0.958111,0.970488
2013-11-15,1.079694,1.109431,0.961919,0.966734
2013-11-18,1.115263,1.128114,0.9623,0.965018
2013-11-19,1.110311,1.135231,0.952399,0.967905
2013-11-20,1.115263,1.133452,0.955065,0.968712
2013-11-21,1.10986,1.131673,0.937928,0.97063
2013-11-22,1.103557,1.128114,0.936024,0.974193
2013-11-25,1.097704,1.131673,0.928027,0.973375
2013-11-26,1.097253,1.125445,0.93869,0.972951
2013-11-27,1.10986,1.163701,0.93412,0.975081
2013-11-28,1.121567,1.16637,0.92917,0.975111
2013-11-29,1.122467,1.19306,0.930312,0.975141
2013-12-02,1.112112,1.074733,0.932978,0.968208
2013-12-03,1.122017,1.091637,0.918126,0.971801
2013-12-04,1.136425,1.085409,0.916984,0.972729
2013-12-05,1.136425,1.049822,0.924981,0.973668
2013-12-06,1.128771,1.05516,0.920792,0.973193
2013-12-09,1.128321,1.08274,0.923458,0.971013
2013-12-10,1.12787,1.074733,0.931074,0.968621
2013-12-11,1.110311,1.092527,0.937548,0.968561
2013-12-12,1.108059,1.113879,0.932978,0.971084
2013-12-13,1.107609,1.112989,0.917746,0.971407
2013-12-16,1.089599,1.116548,0.918126,0.970438
2013-12-17,1.082846,1.102313,0.928408,0.969994
2013-12-18,1.083746,1.092527,0.921173,0.969156
2013-12-19,1.07339,1.097865,0.913938,0.967662
2013-12-20,1.050428,1.094306,0.891851,0.967905
2013-12-23,1.050428,1.080961,0.90099,0.969086
2013-12-24,1.051778,1.099644,0.90099,0.968843
2013-12-25,1.057181,1.122776,0.904798,0.969812
2013-12-26,1.042774,1.105872,0.905179,0.970398
2013-12-27,1.056731,1.132562,0.914318,0.969348
2013-12-30,1.057632,1.13879,0.905179,0.969449
2013-12-31,1.069788,1.133452,0.904798,0.97172
2014-01-02,1.066186,1.161922,0.91508,0.969984
2014-01-03,1.05448,1.178826,0.923077,0.96741
2014-01-06,1.029266,1.155694,0.927266,0.965513
2014-01-07,1.029716,1.177936,0.929931,0.967229
2014-01-08,1.028816,1.22331,0.918126,0.969883
2014-01-09,1.022512,1.199288,0.918507,0.968924
2014-01-10,1.015308,1.177936,0.9246,0.96959
2014-01-13,1.008104,1.188612,0.932216,0.970731
2014-01-14,1.014858,1.225089,0.934882,0.969913
2014-01-15,1.014858,1.236655,0.926885,0.97067
2014-01-16,1.015308,1.219751,0.928027,0.97065
2014-01-17,1.0009,1.216192,0.927266,0.969217
2014-01-20,0.995948,1.19395,0.936405,0.968702
2014-01-21,0.98244,1.228648,0.933359,0.972224
2014-01-22,1.009455,1.244662,0.926123,0.975172
2014-01-23,1.004052,1.272242,0.923839,0.975918
2014-01-24,1.009455,1.292705,0.936786,0.975232
2014-01-27,0.996398,1.285587,0.942879,0.979461
2014-01-28,0.997299,1.282028,0.937928,0.979017
2014-01-29,1.00045,1.30427,0.934882,0.978654
2014-01-30,0.986493,1.301601,0.937167,0.979007
2014-02-07,0.992796,1.33274,0.944402,0.979623
2014-02-10,1.021612,1.348754,0.952399,0.979713
2014-02-11,1.026565,1.327402,0.95773,0.980238
2014-02-12,1.028366,1.339858,0.960015,0.980248
2014-02-13,1.025664,1.290036,0.958492,0.980723
2014-02-14,1.029266,1.315836,0.97182,0.982136
2014-02-17,1.03647,1.353203,0.988576,0.981782
2014-02-18,1.024313,1.340747,0.978675,0.982237
2014-02-19,1.037821,1.339858,0.980579,0.98473
2014-02-20,1.028816,1.319395,0.977152,0.984053
2014-02-21,1.017109,1.319395,0.983244,0.98265
2014-02-24,0.994147,1.338968,0.989718,0.984306
2014-02-25,0.968483,1.274021,0.994669,0.986405
2014-02-26,0.969833,1.273132,1.00952,0.986405
2014-02-27,0.967582,1.232206,0.990861,0.988787
2014-02-28,0.977488,1.245552,0.998096,0.988423
2014-03-03,0.98109,1.272242,1.00952,0.987697
2014-03-04,0.978838,1.264235,1.006474,0.984053
2014-03-05,0.970284,1.269573,0.999238,0.983539
2014-03-06,0.975236,1.268683,0.998858,0.984285
2014-03-07,0.972085,1.270463,1.008759,0.983751
2014-03-10,0.941918,1.218861,0.993907,0.98371
2014-03-11,0.94597,1.212633,1.005712,0.984407
2014-03-12,0.946871,1.213523,1.015994,0.984477
2014-03-13,0.961729,1.25,1.025895,0.987182
2014-03-14,0.953624,1.243772,1.025133,0.987596
2014-03-17,0.960828,1.279359,1.036558,0.988615
2014-03-18,0.959928,1.284698,1.022848,0.986718
2014-03-19,0.954075,1.269573,1.020564,0.985951
2014-03-20,0.937416,1.229537,1.007997,0.985446
2014-03-21,0.972085,1.229537,1.007997,0.987576
2014-03-24,0.976587,1.209075,1.005331,0.987656
2014-03-25,0.975236,1.209075,0.993145,0.987122
2014-03-26,0.975236,1.232206,0.99543,0.987071
2014-03-27,0.968483,1.185053,0.982483,0.986819
2014-03-28,0.968032,1.149466,0.985529,0.985184
2014-03-31,0.96398,1.153915,0.979817,0.984649
2014-04-01,0.969383,1.175267,0.972963,0.984134
2014-04-02,0.977037,1.149466,0.975248,0.983266
2014-04-03,0.970284,1.151246,0.979817,0.983236
2014-04-04,0.98199,1.169039,0.97639,0.982257
2014-04-08,1.005403,1.172598,0.992384,0.983014
2014-04-09,1.003602,1.188612,0.993907,0.983942
2014-04-10,1.019811,1.198399,0.996954,0.985032
2014-04-11,1.019361,1.182384,0.997715,0.987626
2014-04-14,1.01891,1.191281,1.008759,0.988605
2014-04-15,1.0009,1.185943,0.993907,0.991885
2014-04-16,1.0009,1.181495,0.986291,0.988757
2014-04-17,0.9991,1.189502,0.984768,0.994439
2014-04-18,0.997299,1.19573,0.982102,0.994671
2014-04-21,0.979289,1.182384,0.976771,0.995983
2014-04-22,0.986042,1.159253,0.98134,0.991986
2014-04-23,0.983341,1.153915,0.980579,0.992642
2014-04-24,0.985142,1.142349,0.979817,0.989291
2014-04-25,0.972985,1.120996,0.986291,0.992218
2014-04-28,0.959478,1.092527,1.001904,0.990795
2014-04-29,0.968032,1.098754,0.991241,0.991976
2014-04-30,0.967582,1.115658,0.994669,0.995377
2014-05-05,0.968032,1.131673,0.999238,0.99673
2014-05-06,0.966682,1.143238,1.0,0.997608
2014-05-07,0.960378,1.118327,0.999619,0.996165
2014-05-08,0.958577,1.113879,0.985149,0.997739
2014-05-09,0.958127,1.094306,0.985529,1.001332
2014-05-12,0.977488,1.113879,0.987433,1.000404
2014-05-13,0.974786,1.107651,0.988195,1.000071
2014-05-14,0.974786,1.114769,0.989337,0.998789
2014-05-15,0.96398,1.088078,0.993907,0.999647
2014-05-16,0.96353,1.069395,0.987814,0.999717
2014-05-19,0.950473,1.070285,0.988576,0.999071
2014-05-20,0.949572,1.085409,0.987433,0.999223
2014-05-21,0.958577,1.097865,0.987814,0.998688
2014-05-22,0.955876,1.104982,0.988957,0.999939
2014-05-23,0.966682,1.129893,0.988957,1.000646
2014-05-26,0.969833,1.146797,0.987814,1.001897
2014-05-27,0.966682,1.136121,0.98591,1.004713
2014-05-28,0.976587,1.169039,0.972201,1.004744
2014-05-29,0.970734,1.145018,0.961919,1.006449
2014-05-30,0.969833,1.148577,0.965347,1.007539
2014-06-03,0.966682,1.145018,0.958492,1.009184
2014-06-04,0.958127,1.152135,0.95735,1.013333
2014-06-05,0.969383,1.178826,0.955826,1.007176
2014-06-06,0.961279,1.175267,0.963442,1.007893
2014-06-09,0.960378,1.151246,0.960396,1.008246
2014-06-10,0.973435,1.177936,0.960015,1.008054
2014-06-11,0.971634,1.189502,0.963442,1.008882
2014-06-12,0.970734,1.186833,0.963442,1.007055
2014-06-13,0.98154,1.201068,0.968774,1.006621
2014-06-16,0.987843,1.212633,0.972963,1.010648
2014-06-17,0.979739,1.201068,0.965727,1.008508
2014-06-18,0.975236,1.189502,0.964966,1.008639
2014-06-19,0.961279,1.148577,0.973343,1.008276
2014-06-20,0.964881,1.161032,1.000381,1.009174
2014-06-23,0.96353,1.185053,1.004189,1.009275
2014-06-24,0.971634,1.19395,1.004189,1.011748
2014-06-25,0.968483,1.181495,1.001142,1.011445
2014-06-26,0.972985,1.205516,1.001904,1.009487
2014-06-27,0.974786,1.207295,1.003046,1.00869
2014-06-30,0.98109,1.220641,1.001142,1.008135
2014-07-01,0.98154,1.228648,1.00457,1.007126
2014-07-02,0.986042,1.235765,1.006855,1.006338
2014-07-03,0.989644,1.235765,1.00457,1.0065
2014-07-04,0.989644,1.228648,1.003427,1.00648
2014-07-07,0.988744,1.213523,0.996573,1.006056
2014-07-08,0.990095,1.228648,1.001142,1.002594
2014-07-09,0.977488,1.203737,1.002666,0.999647
2014-07-10,0.976587,1.185053,1.007235,0.995993
2014-07-11,0.979289,1.182384,1.016375,1.003351
2014-07-14,0.992796,1.190391,1.001523,1.004421
2014-07-15,0.991445,1.16637,0.993907,1.003633
2014-07-16,0.990995,1.146797,0.986672,1.001252
2014-07-17,0.986943,1.140569,0.991622,0.998133
2014-07-18,0.991896,1.1379,0.997715,0.99781
2014-07-21,0.991445,1.137011,0.997715,0.998335
2014-07-22,1.003152,1.157473,0.993145,0.999243
2014-07-23,1.004953,1.123665,0.992003,0.999334
2014-07-24,1.026565,1.104982,0.986291,0.99893
2014-07-25,1.038271,1.118327,0.982102,1.000575
2014-07-28,1.066186,1.143238,0.989337,1.000545
2014-07-29,1.068888,1.156584,0.988576,1.000303
2014-07-30,1.065286,1.168149,0.984387,1.002079
2014-07-31,1.079694,1.168149,0.98134,1.002281
2014-08-01,1.066637,1.147687,0.974867,1.007216
2014-08-04,1.089599,1.155694,0.981721,1.007297
2014-08-05,1.086448,1.185053,0.979056,1.008115
2014-08-06,1.079694,1.187722,0.979056,1.009094
2014-08-07,1.067987,1.185053,0.987053,1.007327
2014-08-08,1.068438,1.198399,0.996192,1.008296
2014-08-11,1.083296,1.215302,0.988576,1.008751
2014-08-12,1.078793,1.213523,0.989337,1.008074
2014-08-13,1.081945,1.201068,0.989337,1.008821
2014-08-14,1.068888,1.197509,0.989337,1.009437
2014-08-15,1.082395,1.209964,0.989718,1.010709
2014-08-18,1.085997,1.241993,0.981721,1.010032
2014-08-19,1.086898,1.24911,0.979436,1.009659
2014-08-20,1.082846,1.238434,0.978294,1.009265
2014-08-21,1.078793,1.258897,0.968393,1.00868
2014-08-22,1.084196,1.271352,0.968774,1.008407
2014-08-25,1.074741,1.252669,0.966108,1.008397
2014-08-26,1.067987,1.225089,0.973724,1.009164
2014-08-27,1.067537,1.234875,0.970678,1.008367
2014-08-28,1.062584,1.218861,0.971439,1.009003
2014-08-29,1.07294,1.240214,0.972582,1.009215
2014-09-01,1.077893,1.260676,0.970678,1.00979
2014-09-02,1.094102,1.272242,0.964585,1.009447
2014-09-03,1.104457,1.280249,0.961158,1.009235
2014-09-04,1.114813,1.296263,0.960015,1.009023
2014-09-05,1.125619,1.298932,0.958111,1.009003
2014-09-09,1.122918,1.297153,0.951257,1.009296
2014-09-10,1.115714,1.30516,0.94821,1.008639
2014-09-11,1.10941,1.308719,0.944021,1.008518
2014-09-12,1.118415,1.319395,0.938309,1.008296
2014-09-15,1.115263,1.319395,0.936024,1.009245
2014-09-16,1.095903,1.279359,0.936024,1.009084
2014-09-17,1.099505,1.281139,0.936405,1.009275
2014-09-18,1.104007,1.295374,0.927266,1.014231
2014-09-19,1.113012,1.298932,0.926885,1.01526
2014-09-22,1.089599,1.282918,0.916222,1.01628
2014-09-23,1.100855,1.299822,0.918126,1.018894
2014-09-24,1.122017,1.315836,0.920792,1.014211
2014-09-25,1.116164,1.30694,0.914699,1.014695
2014-09-26,1.116614,1.309609,0.924981,1.013928
2014-09-29,1.121567,1.324733,0.923077,1.01632
2014-09-30,1.121567,1.33452,0.924981,1.020771
2014-10-08,1.133724,1.347865,0.920792,1.020176
2014-10-09,1.134174,1.351423,0.925743,1.020509
2014-10-10,1.128771,1.345196,0.923077,1.020065
2014-10-13,1.122467,1.338968,0.929551,1.020922
2014-10-14,1.118415,1.328292,0.930693,1.028018
2014-10-15,1.125619,1.336299,0.9246,1.031772
2014-10-16,1.121567,1.318505,0.931455,1.03483
2014-10-17,1.116614,1.307829,0.932597,1.037545
2014-10-20,1.121567,1.330071,0.932216,1.039322
2014-10-21,1.114363,1.311388,0.937167,1.036849
2014-10-22,1.108059,1.302491,0.938309,1.031712
2014-10-23,1.096353,1.279359,0.932216,1.032872
2014-10-24,1.095452,1.282028,0.925743,1.033306
2014-10-27,1.085097,1.292705,0.924219,1.032529
2014-10-28,1.106709,1.319395,0.922315,1.036314
2014-10-29,1.120666,1.324733,0.9246,1.038797
2014-10-30,1.12742,1.317616,0.912414,1.037939
2014-10-31,1.149932,1.310498,0.894516,1.037596
2014-11-03,1.147681,1.326512,0.883092,1.039796
2014-11-04,1.146781,1.307829,0.88195,1.045004
2014-11-05,1.14543,1.308719,0.865194,1.047729
2014-11-06,1.14588,1.327402,0.861386,1.045125
2014-11-07,1.143629,1.314057,0.859863,1.049445
2014-11-10,1.175597,1.313167,0.877761,1.052331
2014-11-11,1.167942,1.267794,0.864813,1.051585
2014-11-12,1.185052,1.281139,0.876999,1.051241
2014-11-13,1.178298,1.251779,0.873191,1.049031
2014-11-14,1.179649,1.25089,0.869002,1.047669
2014-11-17,1.174696,1.274021,0.889185,1.044277
2014-11-18,1.162089,1.282028,0.891089,1.048052
2014-11-19,1.158487,1.302491,0.894897,1.04563
2014-11-20,1.160288,1.290925,0.887281,1.045569
2014-11-21,1.18235,1.300712,0.894516,1.046054
2014-11-24,1.216119,1.307829,0.898324,1.048203
2014-11-25,1.228726,1.330961,0.899086,1.049566
2014-11-26,1.242233,1.343416,0.899848,1.049354
2014-11-27,1.253489,1.350534,0.902133,1.050091
2014-11-28,1.283206,1.355872,0.89604,1.050616
2014-12-01,1.284557,1.338968,0.876618,1.051877
2014-12-02,1.335434,1.349644,0.910129,1.050182
2014-12-03,1.349842,1.387011,0.907845,1.042824
2014-12-04,1.431787,1.404804,0.910891,1.038434
2014-12-05,1.423233,1.36032,0.911653,1.034881
2014-12-08,1.49167,1.350534,0.903656,1.032549
2014-12-09,1.409275,1.302491,0.916984,1.032085
