Date,Year,Q,MCI,trend,NAV_v27,Eff_Q,EM
2013-07-30,2013,1,0.747222222222222,,0.998851025684106,1,N
2013-07-31,2013,1,0.747222222222222,,1.00217229455049,1,N
2013-08-01,2013,1,0.8166666666666667,,1.0321622559365964,1,N
2013-08-02,2013,1,0.8166666666666667,,1.0290856468416547,1,N
2013-08-05,2013,1,0.8166666666666667,,1.0470273155882344,1,N
2013-08-06,2013,1,0.8166666666666667,,1.0532367261821682,1,N
2013-08-07,2013,1,0.8166666666666667,,1.0402602082003967,1,N
2013-08-08,2013,1,0.8166666666666667,,1.0446569112043782,1,N
2013-08-09,2013,1,0.8166666666666667,,1.0455064890310724,1,N
2013-08-12,2013,1,0.8166666666666667,,1.0642568494043432,1,N
2013-08-13,2013,1,0.8166666666666667,,1.0674025435512045,1,N
2013-08-14,2013,1,0.8166666666666667,,1.065461724500878,1,N
2013-08-15,2013,1,0.8166666666666667,,1.0535536702456936,1,N
2013-08-16,2013,1,0.8166666666666667,,1.0391333125125513,1,N
2013-08-19,2013,1,0.8166666666666667,,1.056876633803183,1,N
2013-08-20,2013,1,0.8166666666666667,,1.0503444863101232,1,N
2013-08-21,2013,1,0.8166666666666667,,1.0534982383880869,1,N
2013-08-22,2013,1,0.8166666666666667,,1.0546371419507168,1,N
2013-08-23,2013,1,0.8166666666666667,,1.0555046937132264,1,N
2013-08-26,2013,1,0.8166666666666667,,1.077131506694379,1,N
2013-08-27,2013,1,0.8166666666666667,,1.0792217412844751,1,N
2013-08-28,2013,1,0.8166666666666667,,1.0714282209553652,1,N
2013-08-29,2013,1,0.8166666666666667,,1.0667632117884063,1,N
2013-08-30,2013,1,0.8166666666666667,,1.0557355125804664,1,N
2013-09-02,2013,1,0.7972222222222223,,1.0632771370909415,1,N
2013-09-03,2013,1,0.7972222222222223,,1.0777115976992087,1,N
2013-09-04,2013,1,0.7972222222222223,,1.0776140423361038,1,N
2013-09-05,2013,1,0.7972222222222223,,1.079432751678677,1,N
2013-09-06,2013,1,0.7972222222222223,,1.0848543040544316,1,N
2013-09-09,2013,1,0.7972222222222223,,1.1069581561883828,1,N
2013-09-10,2013,1,0.7972222222222223,,1.112230648193162,1,N
2013-09-11,2013,1,0.7972222222222223,,1.1029653987549766,1,N
2013-09-12,2013,1,0.7972222222222223,,1.1083819594412845,1,N
2013-09-13,2013,1,0.7972222222222223,,1.1093051371806124,1,N
2013-09-16,2013,1,0.7972222222222223,,1.1130090616396238,1,N
2013-09-17,2013,1,0.7972222222222223,,1.0964645778614879,1,N
2013-09-18,2013,1,0.7972222222222223,,1.1004777285609877,1,N
2013-09-23,2013,1,0.7972222222222223,,1.1232519726799122,1,N
2013-09-24,2013,1,0.7972222222222223,,1.121835375076449,1,N
2013-09-25,2013,1,0.7972222222222223,,1.114691156231377,1,N
2013-09-26,2013,1,0.7972222222222223,,1.0990594433063146,1,N
2013-09-27,2013,1,0.7972222222222223,,1.105775267800027,1,N
2013-09-30,2013,1,0.7972222222222223,,1.1195851239398937,1,N
2013-10-08,2013,1,0.8277777777777777,,1.1330248681019377,1,N
2013-10-09,2013,1,0.8277777777777777,,1.1387451346326984,1,N
2013-10-10,2013,1,0.8277777777777777,,1.1268444794863306,1,N
2013-10-11,2013,1,0.8277777777777777,,1.1369814253068335,1,N
2013-10-14,2013,1,0.8277777777777777,,1.1402258779183598,1,N
2013-10-15,2013,1,0.8277777777777777,,1.1353296727516609,1,N
2013-10-16,2013,1,0.8277777777777777,,1.11288237877323,1,N
2013-10-17,2013,1,0.8277777777777777,,1.1065461133567847,1,N
2013-10-18,2013,1,0.8277777777777777,,1.1191171216761375,1,N
2013-10-21,2013,1,0.8277777777777777,,1.1444920239076228,1,N
2013-10-22,2013,1,0.8277777777777777,,1.1259143566826024,1,N
2013-10-23,2013,1,0.8277777777777777,,1.1098930919588041,1,N
2013-10-24,2013,1,0.8277777777777777,,1.1003922314212673,1,N
2013-10-25,2013,1,0.8277777777777777,,1.0820689576267164,1,N
2013-10-28,2013,1,0.8277777777777777,,1.0828581115786344,1,N
2013-10-29,2013,1,0.8277777777777777,-0.00019230892701727065,1.0785032187397032,1,N
2013-10-30,2013,1,0.8277777777777777,0.012218109575903968,1.0911726681943983,1,N
2013-10-31,2013,1,0.8277777777777777,0.0009675865147678042,1.073240160552233,1,N
2013-11-01,2013,1,0.822222222222222,0.0036933155559173425,1.0719668610310653,1,N
2013-11-04,2013,1,0.822222222222222,-0.00011619203793022947,1.0720495560951717,1,N
2013-11-05,2013,1,0.822222222222222,-0.0010736977533227776,1.0810684949894054,1,N
2013-11-06,2013,1,0.822222222222222,-0.013098396903779341,1.0693890717524202,1,N
2013-11-07,2013,1,0.822222222222222,-0.017563384443247232,1.0611612776735861,1,N
2013-11-08,2013,1,0.822222222222222,-0.03254940015444907,1.0475121124910862,1,N
2013-11-11,2013,1,0.822222222222222,-0.03155755690978557,1.0490354276738048,1,N
