date,close
2026-07-16,16.73
2026-07-17,18.77
2026-07-20,18.65
2026-07-21,17.05
2026-07-22,16.64
2026-07-23,18.7
2026-07-24,18.58
2026-07-27,18.67
2026-07-28,18.21
2026-07-29,20.66
2026-07-30,17.09
2026-07-31,15.99
2026-08-03,15.86
2026-08-04,16.5
2026-08-05,15.81
2026-08-06,15.15
2026-08-07,14.9
2026-08-10,15.46
2026-08-11,15.28
2026-08-12,14.55
2026-08-13,14.63
2026-08-14,14.25
2026-08-17,15.19
2026-08-18,15.84
2026-08-19,14.89
2026-08-20,16.01
2026-08-21,15.13
2026-08-24,15.85
2026-08-25,15.45
2026-08-26,15.21
2026-08-27,14.51
2026-08-28,14.43
2026-08-31,14.92
2026-09-01,16.34
2026-09-02,15.2
2026-09-03,14.32
2026-09-04,14.53
2026-09-07,15.3
2026-09-08,15.72
2026-09-09,16.46
2026-09-10,17.84
2026-09-11,15.84
