Date,SPY,BND,GLD,TLT,VTI,QQQ,XLE,VIX,SHV,VIXTERM
2007-01-03,99.0595574023,41.2737281889,62.28,48.7088366003,49.4192449859,37.1270913736,15.8606021165,12.04,81.5792279216,-1.3400001525878906
2007-01-04,99.2697729039,41.2737281889,61.65,48.9986724979,49.518118788,37.8311666494,15.5718707594,11.51,81.5792279216,-1.619999885559082
2007-01-05,98.4779655959,41.2737281889,60.17,48.7908656279,49.126154787,37.6508546885,15.6755897906,12.14,81.5792279216,-1.2699995040893557
2007-01-08,98.9334342677,41.2737281889,60.48,48.8728946555,49.306246355,37.67661354,15.6755897906,12.0,81.5792279216,-1.2799997329711914
2007-01-09,98.8493524115,41.2737281889,60.85,48.8728946555,49.306246355,37.8655117848,15.5410353718,11.91,81.5792279216,-1.3500003814697266
2007-01-10,99.1786769272,41.2737281889,60.59,48.6541505819,49.4157137787,38.3119985451,15.2410911466,11.47,81.5792279216,-1.5500001907348633
2007-01-11,99.6131256605,41.2737281889,60.63,48.3697832862,49.7900217436,38.7069676022,15.1541914177,10.87,81.5792279216,-1.510000228881836
2007-01-12,100.369894599,41.2737281889,62.17,48.1455706107,50.1184240146,38.9044521308,15.5410353718,10.15,81.6242578542,-1.920000076293945
2007-01-16,100.1736968276,41.2737281889,61.97,48.2330682401,50.0230814198,38.8786932792,15.3812519995,10.74,81.6092478766,-1.4800004959106443
2007-01-17,100.2157374054,41.2737281889,62.64,48.1018217959,50.058393492,38.5610007767,15.55224824,10.59,81.6542778092,-1.489999771118164
2007-01-18,99.8793882585,41.2737281889,62.26,48.2494740456,49.7900217436,37.8483392171,15.4373163406,10.85,81.6467728205,-1.25
2007-01-19,100.0755972413,41.2737281889,63.0,48.1182276015,49.9842381404,37.9256157717,15.8606021165,10.4,81.6317628429,-1.2100000381469729
2007-01-22,99.7672828541,41.2737281889,62.72,48.2330682401,49.7864905364,37.5134741469,15.7512766512,10.77,81.661782798,-1.3999996185302734
2007-01-23,100.0615802118,41.2737281889,64.23,47.9158893333,49.927738825,37.4190250245,16.1605463417,10.34,81.6692877868,-1.1999998092651367
2007-01-24,100.8673940385,41.2737281889,64.33,47.9104207315,50.369139727,38.0372374618,16.2306267682,9.89,81.7143177194,-1.3399991989135742
2007-01-25,99.6831904872,41.2737281889,64.06,47.5658988155,49.8041465724,37.5478192823,15.8970439382,11.22,81.7143177194,-0.8999996185302734
2007-01-26,99.5921050212,41.2737281889,64.1,47.5276186026,49.7723657075,37.4104387407,15.936288977,11.13,81.7068127306,-0.9600000381469728
2007-01-29,99.5360467133,41.2737281889,63.77,47.4237151676,49.7829593291,37.4447838761,15.8606021165,11.45,81.7668526408,-0.7200002670288086
2007-01-30,100.0545660914,41.2737281889,64.22,47.478401186,50.0689518016,37.4619564438,16.1801688611,10.96,81.7668526408,-0.6400003433227539
2007-01-31,100.7272538744,41.2737281889,64.83,47.6807394541,50.4327014569,37.8397529332,16.2838878923,10.42,81.8043775846,-0.9099998474121094
2007-02-01,101.32986632,41.2737281889,65.22,47.8203484843,50.7222604486,37.796821514,16.3427554505,10.31,81.8070666221,-0.979999542236328
2007-02-02,101.4700064841,41.2737281889,64.28,47.8807485111,50.7858221784,37.9170294879,16.4352616134,10.08,81.8296465467,-1.1599998474121094
2007-02-05,101.4980405431,41.2737281889,64.31,47.9466394494,50.8458527011,37.8826843525,16.4184423111,10.55,81.8522264712,-0.869999885559082
2007-02-06,101.5260640914,41.2737281889,64.79,48.2102032027,50.8493839083,37.8225803655,16.367984404,10.65,81.8446998297,-0.75
2007-02-07,101.7502973231,41.2737281889,64.63,48.3529669023,51.0153506475,38.1746180034,16.269871807,10.32,81.8898596788,-0.9900007247924804
2007-02-08,101.617160068,41.2737281889,65.52,48.391403283,50.9517889176,38.1660317196,16.4352616134,10.44,81.8823330373,-0.9800004959106444
2007-02-09,100.8603904288,41.2737281889,66.12,48.1168577067,50.5668873311,37.6422684046,16.367984404,11.1,81.9049129618,-1.0499992370605469
2007-02-12,100.5170383729,41.2737281889,65.67,48.0070394762,50.3867957631,37.5220604307,16.1409238223,11.61,81.9049129618,-0.7600002288818359
2007-02-13,101.3649039887,41.2737281889,65.84,47.9027121572,50.8140718362,37.6594409723,16.3763940552,10.34,81.9049129618,-1.109999656677246
2007-02-14,102.0305776513,41.2737281889,66.37,48.3584578139,51.1530677289,38.2948259773,16.3791972723,10.23,81.9575994524,-1.0300006866455078
