Date,AGG,BND,EEM,EFA,GLD,HDV,HYG,IEF,IJH,IJR,IWM,LQD,MOAT,MTUM,NOBL,PDBC,QQQ,QUAL,SCHD,SHV,SLV,SPLV,SPY,TLT,USMV,VB,VEA,VGT,VIG,VNQ,VTI,VWO,VYM,XLB,XLE,XLF,XLP,XLRE,XLU,XLV
2026-06-09,203.04480,133.61666,102.55179,197.95438,397.24451,46.68366,265.19966,183.37845,105.77906,192.78373,398.64274,291.50324,122.32707,364.25857,71.31020,39.02322,838.45836,260.19505,51.27175,147.21134,62.05386,104.41879,1342.03204,193.45562,125.69293,400.64398,123.54389,139.07798,348.40674,247.11100,563.98841,106.37631,287.92356,93.26978,116.49003,89.07353,159.37725,64.60056,113.12139,231.31340
2026-06-10,202.91368,133.50674,100.08019,195.17343,382.85502,46.89822,264.99412,183.20571,104.18279,191.33936,394.28372,291.03621,120.76535,355.89379,71.01231,39.13542,821.84643,257.85731,51.06590,147.22703,58.30757,104.74492,1320.37268,192.86620,125.17659,394.63590,121.45502,135.87341,344.61260,246.98452,554.90433,104.90240,284.73428,91.08100,118.23356,88.63173,161.95159,64.60887,113.13182,228.67633
2026-06-11,204.02250,134.23949,104.46978,201.05838,374.02880,46.82944,265.75815,184.42938,106.83742,196.10829,406.18397,293.25981,122.13632,372.55892,71.54937,38.75394,848.87782,262.27819,51.50926,147.24690,57.70515,104.70238,1343.45961,195.31909,125.74649,404.80977,125.65045,140.42026,349.00190,246.85805,565.30607,107.26794,288.26786,94.08077,115.91455,89.32951,161.53447,64.48973,113.21132,230.50842
2026-06-12,203.77483,134.07462,105.49397,202.12818,384.22373,47.23412,266.16597,184.10349,107.61131,197.92132,409.42404,292.97900,122.68472,378.80069,72.02085,38.30514,854.37171,263.49936,51.96846,147.28418,60.63105,105.62405,1350.26487,194.74132,126.27220,407.58696,126.46475,141.20629,350.81714,249.28641,568.11190,108.28694,290.62358,95.86260,116.84557,90.54464,162.66811,65.13924,114.47847,230.14677
2026-06-15,204.02569,134.22117,108.48426,203.49001,399.74834,46.73038,266.88760,184.33807,107.97369,198.04971,412.47949,293.19859,123.93648,389.89536,71.89357,37.78902,880.59796,266.60649,51.63594,147.30523,63.93974,105.24120,1372.84000,194.73007,126.97111,410.13042,128.05796,145.99499,352.34968,247.41455,577.32000,110.27035,290.58734,96.42124,112.75601,90.86778,161.94158,64.59383,115.03987,228.75025
2026-06-16,204.37261,134.45932,106.82294,203.71259,397.96302,46.87927,266.71298,184.81151,107.64482,196.99648,408.90135,293.58384,123.45962,380.81485,72.18720,37.29534,864.00971,264.78077,51.49343,147.31947,63.65389,105.63823,1365.09513,195.87007,126.50555,407.46322,127.77472,142.39137,352.30504,247.97105,573.90960,109.01479,290.56922,96.83661,112.34496,92.22222,162.15626,64.73207,115.82882,228.71241
2026-06-17,203.58810,133.94639,106.70678,202.43429,398.51406,46.24176,266.24762,183.83548,106.31287,194.41301,405.95132,292.65495,120.78919,383.67873,71.00584,37.45242,855.44918,260.92338,50.54337,147.30017,63.13734,103.93668,1348.56627,196.04103,124.84034,402.67876,126.90731,141.38768,349.04654,241.82426,567.18179,108.83283,288.30410,95.55393,110.99119,91.74400,158.56661,63.13132,114.33067,225.49996
2026-06-18,204.06873,134.27613,110.05519,204.08004,388.80638,46.04051,266.34782,184.43756,107.51983,197.95605,414.56170,293.38496,121.75484,395.35156,70.97506,37.04850,876.63146,262.75280,50.44836,147.35652,61.27732,103.63891,1363.15796,196.99198,124.40391,407.77944,128.53096,145.28152,349.70122,241.74837,573.64607,110.47233,288.48441,95.13186,109.12085,90.91256,157.79425,62.97891,115.07942,223.57752
2026-06-22,203.56239,133.94639,110.46779,204.44578,385.19101,46.12603,266.21471,183.83016,107.94919,198.04493,417.98008,292.44016,120.40770,403.73642,70.81596,36.68946,874.95427,262.60617,50.49586,147.36514,60.00741,104.08939,1358.17996,195.59576,124.33571,408.78307,128.56655,145.74105,350.16246,244.32850,571.66183,111.07351,288.73967,95.17078,110.55603,91.40137,156.78587,63.76640,115.67453,225.51342
2026-06-23,203.80552,134.11126,104.57275,200.13384,379.54566,46.72622,266.00104,184.05320,106.83027,197.33788,413.96783,292.89924,120.59844,385.22103,71.29378,36.33042,846.12695,259.05882,50.71754,147.38416,56.24305,105.39637,1338.68728,195.92198,124.59944,405.57968,124.63392,140.34771,348.34723,247.59161,563.95741,107.90363,288.24738,93.73998,111.29412,91.73050,159.68874,64.64105,116.62976,228.59362
